qid	answer	tigan	o1	p1	o2	p2	o3	p3	tail
206	1	IMAGEIMAGEIMAGEp016_img04_xref134__DOT__png 本燈號使用時機？	(1)	車輛故障或車輛暫時停靠路邊時。	(2)	顯示方向。	(3)	超車時。	
207	2	臨時停車時若車上有6歲以下小孩，何者正確？	(1)	臨停3分鐘內可把小孩單獨留在車內，離座時應取下鑰匙並上鎖，始可遠離車輛，但不可超過20分鐘。	(2)	不可單獨將小孩留在車內。	(3)	車內有2位小孩作伴可留在車內，離座時應取下鑰匙並上鎖，始可遠離車輛，但不可超過 20分鐘。	
208	2	違反處罰條例之受處罰人不服處罰之裁決者，應以誰為被告，逕向管轄之高等行政法院地方行政訴訟庭提起訴訟？	(1)	原處罰機關承辦人。	(2)	原處分機關。	(3)	原舉發機關。	
209	2	駕駛人行駛高速公路，發現應從前方匝道駛出，但目前所在車道與外側出口車道之間繪有白色 雙實線「禁止變換車道線」，應如何處置？	(1)	開啟方向燈並確認安全後，即可跨越白色雙實線變換至出口車道。	(2)	不得跨越白色雙實線，應繼續前行至下一交流道再繞回。	(3)	減速至 低於40公里後，可短暫跨越白色雙實線駛入出口車道。	
210	1	道路中央之黃色標線與同向車道間之白色標線，均可能出現實線與虛線併列的形式，關於兩者 之差異，下列何者正確？	(1)	黃色實虛併列為「單向禁止超車線」，劃設於道路中央，管制對 向超車行為；白色實虛併列為「單邊禁止變換車道線」，劃設於同向車道間，管制車道變換行為。	(2)	黃色與白色實虛併列標線功能相同，僅以顏色區分速限路段等級。	(3)	黃色實虛併列 為「單向禁止變換車道線」，劃設於同向車道間；白色實虛併列為「單向禁止超車線」，劃設 於道路中央。	
211	3	IMAGEIMAGEIMAGEp017_img01_xref137__DOT__png 車輛行駛於路上，看到此標誌，表示何種車輛不得進入？	(1)	計程車。	(2)	大貨 車。	(3)	以上都不得進入。	
212	3	IMAGEIMAGEIMAGEp017_img02_xref138__DOT__png 此標誌性質為？	(1)	警告標誌。	(2)	指示標誌。	(3)	禁制標誌。	
213	3	下列何者為是？	(1)	車輛所有人允許無駕照之人駕駛其車輛，吊扣牌照1個月。	(2)	未成年無照駕駛，須吊扣其監護人駕照。	(3)	汽車駕駛人允許無駕照之人駕駛其車輛者，須吊扣其駕駛執 照。	
214	1	IMAGEIMAGEIMAGEp017_img03_xref139__DOT__png 車輛行駛於圖中道路，於哪種標線可超車？	(1)	黃色虛線。	(2)	黃色實線。	(3)		
215	1	色實線禁止臨時停車線為？	(1)	紅色實線。	(2)	黃色實線。	(3)	白色實線。	
216	1	有關駕駛輔助系統下列何者敘述正確？	(1)	在雨天或霧天等能見度不佳情況下有可能無法正常運作。	(2)	溫度低時，可能無法正常運作。	(3)	所有類型天氣皆可正常運作。	
217	3	自動排檔車輛，將排檔桿放置於何檔位不可啟動引擎？	(1)	N檔。	(2)	P檔。	(3)	R檔。	
218	3	座位數（包括駕駛人在內）幾座以下之客車為小客車？	(1)	5座。	(2)	7座。	(3)	9座。	
219	3	關於駕駛自動排檔車輛上高速公路的敘述，使用檔位下列何者正確？	(1)	L2檔。	(2)	L檔。	(3)	D檔。	
220	2	持有職業駕駛執照未滿60歳之駕駛人，其職業駕駛執照，應自發照之日起：	(1)	每滿1年審驗1次。	(2)	每滿3年審驗1次。	(3)	每滿5年審驗1次。	
221	2	關於行人穿越道標線之外觀樣式，下列敘述何者正確？	(1)	斑馬紋為與路面中心線平行之白色縱向長條紋，枕木紋為白色斜紋線。	(2)	斑馬紋為白色斜紋線，枕木紋為與路面中心線垂直之白色 橫向線條。	(3)	斑馬紋與枕木紋外觀相同，僅以設置地點區分名稱。	
222	3	設有禁止臨時停車標誌之路段？	(1)	僅禁止停車，可臨時停車。	(2)	僅白天禁止臨時停車。	(3)	全天不得臨時停車及停車。	
223	3	汽缸總排氣量超過250立方公分以上大型重型機車行駛路權，下列何者正確？	(1)	250cc以上大型重型機車即可行駛高速公路。	(2)	550cc以上大型重型機車即可行駛高速公路。	(3)	550cc 以上大型重型機車僅可行駛於經公告允許之高速公路路段。	
224	2	「禁止會車」與「禁止超車」均為紅色圓形禁制標誌，且圖案皆涉及兩車關係，關於兩者管制 行為之差異，下列何者正確？	(1)	「禁止會車」禁止同向車輛超越前車；「禁止超車」禁止對向車輛在該路段交會。	(2)	「禁止會車」禁止對向車輛在該路段交會；「禁止超車」禁止同向 車輛跨越對向車道超越前車。	(3)	兩者皆禁止車輛跨越道路中心線，僅適用路段寬度不同。。	
225	3	自下列何者時間起，新考領汽車駕照者不得駕駛輕型機車？	(1)	110年6月30日。	(2)	111年6月30日。	(3)	112年6月30日。	
226	3	有關小型車職業駕駛人，職業年齡至多可延長至幾歲，年滿後即應依規定申請換發同等車類之普通駕駛執照？	(1)	65歲。	(2)	68歲。	(3)	70歲。	
227	2	高速公路減速車道之設置位置為何？	(1)	主線最內側。	(2)	主線車道與匝道之間，專供車輛從主線駛離至匝道。	(3)	匝道與主線車道之間，專供車輛從匝道匯入主線。	
228	3	未經前車允讓即強行超車？	(1)	是否屬違規行為，要視駕駛路段而定。	(2)	非屬違規行為，不予以罰。	(3)	屬違規行為，應處罰鍰。	
229	1	汽車行駛高速公路，在正常天候狀況下，行駛速率為每小時100公里時，前後兩車間之最小行車安全距離？	(1)	大型車為80公尺，小型車為50公尺。	(2)	大型車為90公尺，小型車為50公 尺。	(3)	大型車為80公尺，小型車為60公尺。	
230	1	汽車駕駛人駕駛汽車肇事，無人受傷或死亡而未依規定處置者，罰鍰是多少？	(1)	1,000~3,000元。	(2)	3,000~5,000元。	(3)	5,000~10,000元。	
231	3	車輛行駛過程中，如有急加速或急煞車行為，下列何者敘述錯誤？	(1)	肇事機率變大。	(2)	輪胎及煞車來令磨損較快。	(3)	不會產生廢氣汙染。	
232	3	下列駕駛人之倒車行為，何者未違反交通法規規定？	(1)	在單行道路段倒車，以節省行車時間。	(2)	在鐵路平交道前倒車迴轉。	(3)	路邊停車時短距離倒車	
233	2	下列圖示哪個是行車管制號誌?	(1)	IMAGEIMAGEIMAGEp018_img01_xref142__DOT__png	(2)	IMAGEIMAGEIMAGEp018_img02_xref144__DOT__png	(3)	IMAGEIMAGEIMAGEp018_img03_xref146__DOT__png	
234	3	汽缸總排氣量達550立方公分以上之大型重型機車，行駛於高速公路及快速公路時，下列何者不符合規定？	(1)	應配戴全面式或露臉式安全帽。	(2)	應全天候開啟頭燈。	(3)	附載乘客以一人 為限。	
235	1	IMAGEIMAGEIMAGEp018_img04_xref148__DOT__png 圖中黃色雙實線的作用為？	(1)	用以分隔對向車道，並雙向禁止超車。	(2)	用以分隔同向車道，並雙邊禁止變換車道。	(3)	用以分隔同向車道，並單	
236	3	邊禁止變換車道。領有大客車駕照者？	(1)	可以駕駛聯結車。	(2)	可以駕駛大型重型機車。	(3)	可以駕駛大貨車。	
237	2	關於駕駛人的行為，下列敘述何者正確？	(1)	遵守交通法規與秩序，只能算是優良駕駛人，與駕駛道德無關。	(2)	遵守交通法規與秩序，不僅是優良駕駛人，也是駕駛道德的一部份。	(3)	駕 駛道德只與禮讓行人有關，與遵守交通法規無關。	
238	2	關於特種車輛，如消防車、救護車、警備車、工程救險車及毒性化學物質災害事故應變車，其行車速度，下列敘述何者正確？	(1)	行車速度完全不受任何規定限制。	(2)	執行緊急任務時，可 不受規定限制。	(3)	執行任務時與一般車輛相同，必須遵守速限規定。	
239	2	汽車駕駛人駕駛汽車肇事，若無人受傷或死亡且汽車尚能行駛，卻不儘速將汽車位置標繪並移 置路邊，導致妨礙交通者，依規定應如何處罰？	(1)	處駕駛人新臺幣3,000元以上6,000元以下罰鍰。	(2)	處駕駛人新臺幣600元以上1,800元以下罰鍰。	(3)	處汽車所有人新臺幣1,200元 以上 3,600元以下罰鍰。	
240	3	汽車駕駛人領有小型車駕駛執照，駕駛聯結車、大客車或大貨車者，其處罰規定為何？	(1)	處 罰駕駛人新臺幣3萬6,000元以上6萬元以下罰鍰，並記該車違規紀錄1次。	(2)	處罰汽車所有人新臺幣3萬6,000元以上6萬元以下罰鍰。	(3)	汽車所有人及駕駛人各處新臺幣 4萬~8萬元 罰鍰，並吊扣汽車牌照。	
241	3	汽車行至坡度大約相等的上、下坡道，上坡時若以2檔行駛，下坡時應如何選用檔位以達到省油、安全又節省時間的效果？	(1)	以3檔或4檔行駛。	(2)	換入空檔（N檔）。	(3)	使用2檔或1 檔行駛。	
242	3	IMAGEIMAGEIMAGEp019_img01_xref152__DOT__png 如圖所示，道路中間標劃的「黃色虛線」為何種標線？	(1)	車道線。	(2)	路面邊線。	(3)	行車分向線。	
243	3	汽車駕駛人聽聞消防車、救護車、警備車、工程救險車、毒性化學物質災害事故應變車之警號 時，不立即避讓，依據道路交通管理處罰條例，將會受到何種處罰？	(1)	處新臺幣1,200元以上2,400元以下罰鍰，並吊扣駕照。	(2)	處新臺幣3,600元以上，3萬元以下罰鍰，並吊扣駕 照。	(3)	處新臺幣6,000元以上，3萬元以下罰鍰，並吊銷駕駛執照及吊扣該汽車牌照6個月。	
244	3	關於駕駛人聞消防車、救護車等緊急車輛警號而未避讓之處罰，下列敘述何者正確？	(1)	未避讓但未造成事故者，處新臺幣3,600元罰鍰並記違規點數1點；若因而致人死傷，加重 為處新臺幣6,000元至3萬元罰鍰並吊扣駕照。	(2)	無論是否造成事故，一律處新臺幣1萬元至10萬元罰鍰並吊銷駕照，以嚇阻駕駛人心存僥 倖。	(3)	未避讓而未肇事者，處新臺幣6,000元以上3萬以下罰鍰；若因而致人死傷，加重為處新臺 幣1萬元至10萬元罰緩，並吊銷駕駛執照及該汽車牌照。	
245	3	汽車行駛於非高、快速公路之一般道路上，若駕駛人或乘客未繫安全帶，應處駕駛人多少罰鍰？	(1)	新臺幣3,000元。	(2)	新臺幣1,000元。	(3)	新臺幣1,500元。	
246	2	IMAGEIMAGEIMAGEp019_img02_xref154__DOT__jpeg 此交通指揮人員之手勢表示何意？	(1)	左方來車右轉彎。	(2)	右方來車左轉彎。	(3)	左方來車左轉彎。	
247	3	IMAGEIMAGEIMAGEp019_img03_xref155__DOT__png 此標誌是在提醒駕駛人注意什麼？	(1)	前方道路封閉，必須迴轉。	(2)	前方有岔路。	(3)	前方遇有障礙物或交通島，車輛應該分道行駛。	
248	1	IMAGEIMAGEIMAGEp019_img04_xref156__DOT__png 用以劃分路面成雙向車道，禁止車輛跨越行駛，並不得迴轉的「黃色雙實線」稱為什麼？	(1)	分向限制線。	(2)	路面邊線。	(3)	禁止變換車道線。	
249	3	IMAGEIMAGEIMAGEp020_img01_xref159__DOT__png 圖中用以促使車輛駕駛人減速慢行之標誌表示將近何處？	(1)	休息站。	(2)	救護站。	(3)	岔路。	
250	3	三角形紅邊、白底、黑色圖案的交通標誌，其主要類別為何？	(1)	注意標誌。	(2)	指示標誌。	(3)	警告標誌。	
251	3	在國道行駛時，看到交流道出口預告標誌下方標示「2,000m」或「2km」，代表什麼意義？	(1)	代表該標誌至交流道出口之減速距離。	(2)	代表交流道的編號。	(3)	代表該標誌與前方交流道出 口距離為2,000公尺。	
252	2	IMAGEIMAGEIMAGEp020_img02_xref160__DOT__png 此標誌，是用以指示？	(1)	港埠。	(2)	渡口。	(3)	修理站。	
253	2	自中華民國112年6月30日起，新考領之汽車駕駛執照，關於駕駛輕型機車之規定為何？	(1)	仍可憑汽車駕駛執照駕駛輕型機車。	(2)	不得駕駛輕型機車。	(3)	僅限於偏遠地區可以駕駛輕型 機車。	
254	2	某路口同時禁止直行與左轉，僅允許車輛右轉，此時應設置下列何種標誌？	(1)	設置「禁止左轉」禁制標誌即可，駕駛人自然會選擇右轉。	(2)	設置「僅准右轉通行」道路遵行標誌，以指示 駕駛人僅能右轉。	(3)	同時設置「禁止左轉」與「禁止直行」兩面禁制標誌。	
255	2	年滿68歲小型車職業駕駛人，若欲延長其職業駕駛執照有效期間至年滿70歲止，下列規定何 者正確？	(1)	只要依規定體格檢查判定合格，不論前一年是否有受處分紀錄，均可直接延長。	(2)	須前一年內未受吊扣駕駛執照處分，且體格檢查合格、檢附通過認知功能測驗或無失智症證 明文件，得每年辦理換發或加註延長。	(3)	僅需檢附無患有失智症證明文件，即可一次換發有效 期間為兩年之職業駕駛執照。	
256	2	未領有汽車駕駛執照之人，若違反道路交通管理處罰條例規定，而應受「吊扣」駕駛執照處分 時，關於其考領執照之規定為何？	(1)	只要繳清罰鍰，即可立即參加駕駛執照考驗。	(2)	在所規定之最長吊扣期間內，不得考領駕駛執照。	(3)	須接受違規再教育1個月後，方可參加駕駛執照 考驗。	
257	3	執行任務中的消防車、救護車、警備車、工程救險車，在同向二車道以上之道路行駛時可行駛何處?	(1)	限駕內側車道。	(2)	限駕外側車道。	(3)	內外側車道均可行駛。	
258	2	受吊銷駕駛執照終身不得考領處分者，須先完成違規教育講習（重新申請考驗班）後，始得參加駕照考驗。請問汽車班應接受之講習時數為何？	(1)	2天，共15小時。	(2)	2.5天，共18 小時。	(3)	3天，共24小時。	
259	2	「單行道」標誌與「道路遵行方向」標誌均為藍底白色箭頭，下列關於兩者差異之敘述，何者 正確？	(1)	「單行道」為圓形標誌，設於路口，指示該路口僅能朝箭頭方向行駛。	(2)	「道路遵行方向」為圓形標誌，設於路口，指示車輛應依箭頭方向行進；「單行道」為方形標誌，設於 單向通行道路上，表示該路段僅允許同一方向行駛。	(3)	兩者僅名稱不同，功能與設置位置完全 相同，可互相替代使用。	
260	3	汽車駕駛人駕駛汽車肇事致人受傷或死亡者，以下處置何者正確?	(1)	逕行移動肇事汽車至路旁，不待案件當事人同意。	(2)	移除現場對我方不利之痕跡證據。	(3)	應即採取救護措施。	
261	3	IMAGEIMAGEIMAGEp021_img01_xref164__DOT__png 此標誌表示?	(1)	分道。	(2)	岔路。	(3)	道路遵行方向。	
262	2	駕駛人依交通指揮人員停止手勢在路口等候後，見指揮人員變換手勢示意其方向通行，此時應如何起步？	(1)	立即加速駛離，以免耽誤後方車輛通行。	(2)	起步前仍應注意路口內人車動態， 確認安全後再平穩駛出。	(3)	應等候至少五秒確認手勢不再變換後，方可起步通行。。	
263	1	汽車駕駛人拆除消音器造成噪音，處罰鍰丶當場禁止其行駛丶吊扣汽車牌照多久?	(1)	6個月。	(2)	3個月。	(3)	2個月。	
264	3	癲癇疾病患者，檢具醫療院所醫師出具最近2年以上未發作診斷證明書者？	(1)	仍不得報考駕照。	(2)	僅得報考機車駕照。	(3)	得報考機車及普通小型車駕照。	
265	2	夜間行車使用遠光燈時，下列何種情況應立即切換為近光燈？	(1)	行經照明充足之市區道路 時，可維持遠光燈以提高自身視野。	(2)	與對向來車交會或接近前方同向車輛時，應切換為近光燈，避免造成他人眩光。	(3)	僅在進入隧道時須切換為近光燈，其餘路段可全程使用遠光燈。	
266	2	駕駛執照考驗，路考之及格分數為？	(1)	60分。	(2)	70分。	(3)	80分。	
267	2	汽缸總排氣量未滿多少之機車不得行駛高速公路？	(1)	未滿450立方公分。	(2)	未滿550立方公分。	(3)	未滿650立方公分。	
268	2	我國國道系統之路線編號，下列何者正確？	(1)	國道一號為東西向高速公路。	(2)	國道三號為南北向高速公路。	(3)	國道五號為西部縱貫高速公路。	
269	1	同向車道間繪有白色虛線「車道線」與白色實線「禁止變換車道線」，關於兩者之差異，下列 何者正確？	(1)	白色虛線表示車輛可在安全情況下變換車道；白色實線表示禁止跨越變換車道。	(2)	白色虛線表示車道即將消失，應盡速匯入鄰近車道；白色實線表示可正常變換車道。	(3)	兩 者功能相同，皆為劃分車道之用，虛線與實線僅為路段等級之區分。	
270	3	汽車行駛速度愈高，則愈省油，這個說法是否正確？	(1)	正確，高速行駛可縮短時間，因此較省油。	(2)	正確，只要維持固定高速就一定最省油。	(3)	錯誤，車速過高會增加風阻與油耗。	
271	2	道路入口處設有「禁止四輪以上汽車進入」標誌，下列何種車輛可進入該路段？	(1)	自用小客車，因屬小型車輛，不在管制範圍內。	(2)	普通重型機車，因非屬四輪以上之汽車。	(3)	小型貨 車，因以載貨為目的，與一般汽車性質不同。	
272	1	高速公路及快速公路管理機關為何？	(1)	交通部高速公路局及交通部公路局。	(2)	均為交通部公路局。	(3)	交通部運輸研究所。	
273	2	IMAGEIMAGEIMAGEp021_img02_xref165__DOT__png	(1)	岔路。	(2)	狹橋。	(3)	狹路。	
274	3	汽車行駛應繳費之公路橋樑逃避繳費，並有致收費人員受傷或死亡者之情事者，應？	(1)	扣留其車輛牌照6個月。	(2)	吊扣其駕駛執照6個月。	(3)	吊銷其駕駛執照。	
275	2	關於「禁止任何車輛進入」與「禁止通行」兩種禁制標誌之差異，下列敘述何者正確？	(1)	「禁止任何車輛進入」禁止車輛及行人進入；「禁止通行」僅禁止車輛進入。	(2)	「禁止任何車輛進入」僅禁止車輛進入，行人不受限制；「禁止通行」則車輛或行人均禁止進入。	(3)	兩 者管制對象完全相同，僅設置路段等級不同，可互相替代使用。	
276	3	駕駛人於倒車時，若發現視線受阻或無法由後視鏡完全確定車後狀況是否安全，下列何種作法最為正確？	(1)	全神貫注盯著倒車影像或雷達，不需下車。	(2)	連續長按喇叭示警，並緩慢加速 倒車。	(3)	應下車親自察看實際狀況後，再行倒車。	
277	3	汽車行駛至槽化線區域時，正確的行為為何？	(1)	可停車上下客。	(2)	可臨時停車但不得久停。	(3)	不得進入或跨越。	
278	3	關於領有國內駕駛執照之人申請換領「國際駕駛執照」的規定，下列敘述何者正確？	(1)	換領國際駕照後，國內原有的駕駛執照即失效並由公路監理機關收回。	(2)	必須重新通過國際道路交 通標誌考試後，方得領取。	(3)	在國內駕照有效期間內，得憑原照換領同等車類之國際駕照。	
279	1	IMAGEIMAGEIMAGEp022_img01_xref169__DOT__png	(1)	雙向道。	(2)	狹路。	(3)	岔路。	
280	3	汽缸總排氣量550立方公分以上之大型重型機車，下列敘述何者正確？	(1)	可於任何道路及時段行駛高速公路。	(2)	駕駛技術優良即可不受道路限制行駛。	(3)	應依規定之道路及時段行駛， 不得任意進入高速公路。	
281	2	關於汽車牌照使用之規定，下列何者正確？	(1)	可借用他車牌照行駛，但須經雙方同意。	(2)	汽車牌照不得偽造、變造、借供他車使用或使用他車牌照。	(3)	僅禁止偽造，借用他車牌照不在限 制內。	
282	2	汽車駕駛人肇事致人重傷或死亡而逃逸，其駕照處分為何？	(1)	吊扣駕照1年。	(2)	吊銷駕照，且不得再考領，但符合特定條件者除外。	(3)	僅處罰鍰，不影響駕照。	
283	1	利用汽車犯罪，經判決有期徒刑以上之刑確定者，將處：	(1)	吊銷其駕照。	(2)	吊扣其駕照。	(3)	換發高風險駕駛執照。	
284	3	轉動汽車方向盤半圈以上時，應採用何種操作方法？	(1)	平穩輸送式旋轉。	(2)	單手控制旋轉。	(3)	續交叉旋轉。	
285	1	其出入口完全控制，中央分隔雙向行駛，除起迄點外，並與其他道路立體相交，專供汽車行之公路為何？	(1)	高速公路。	(2)	快速道路。	(3)	匝道。	
286	3	車輛駕駛人駕車時，因疏忽致人死傷，除負行政責任外，亦應擔負以下何種責任？	(1)	刑事責任。	(2)	民事責任。	(3)	以上皆是。	
287	2	受終身不得考領駕駛執照之處分者，下列何者正確？	(1)	一經處分即終身不得再考照。	(2)	符合條件且限制期間屆滿者，得重新申請報考駕照。	(3)	繳清罰鍰後即可立即恢復考照資格。	
288	2	關於汽車學習駕駛證，下列何者正確？	(1)	可依教練指示駕駛任何車種。	(2)	僅可學習指定車種，學習大型車汽車駕駛，應領有小型車駕駛執照。	(3)	取得後即可單獨上路練習。	
289	2	抗拒執行交通勤務警察，或依法執行交通稽查任務人員之取締，因而引起傷害或死亡者，下列何者正確？	(1)	僅處罰鍰及吊銷駕照，仍可重新考領駕照。	(2)	除罰鍰及吊銷駕照外，並終身不 得考領駕照；但符合特定條件且已逾規定期間者，不在此限。	(3)	處罰鍰並吊扣牌照。	
290	2	執行任務之消防車、警備車、工程救險車？	(1)	在緊急狀況下可短暫停車，仍應遵守一般停車地點限制。	(2)	執行任務時，得依實際需要停車。	(3)	僅可停於不影響交通之地點，其餘仍須依 一般停車規定辦理。	
291	2	我國公路路線編號系統，以編號之奇偶數區分道路走向，下列敘述何者正確？	(1)	奇數編號代表東西向道路，偶數編號代表南北向道路。	(2)	奇數編號代表南北向道路，偶數編號代表東西向道 路。	(3)	編號之奇偶數僅為流水序號，與道路走向無關。	
292	2	車輛停車怠速之時間限制，下列何者正確？	(1)	車輛停車時可持續怠速運轉，無時間限制。	(2)	行車時應盡量減少怠速，不但節能也可減少排放汙染物。	(3)	因為怕熱可待在冷氣開啟之車內。	
293	2	有關高速公路或快速公路之行車標誌使用方式，下列何者正確？	(1)	僅使用高速或快速公路專用標誌，不再使用一般行車標誌。	(2)	以高速或快速公路專用標誌為主，部分情形仍會使用一般 行車標誌。	(3)	僅使用一般行車標誌，與一般道路無差異。	
294	1	汽車行駛於大眾捷運系統車輛共用通行之車道時，聞或見大眾捷運系統車輛臨近之聲號或燈光 時，下列處置何者正確？	(1)	應即依規定變換車道，避讓其優先通行，並不得在後跟隨迫近。但道路主管機關另有規定者，不在此限。	(2)	只要保持安全距離，可與捷運車輛並排於原車道行 駛。	(3)	可加速在捷運車輛前方行駛，以利疏導車流。	
295	3	汽車行駛於長下坡，為避免煞車過度使用而失靈，駕駛人應如何操作最為安全？	(1)	將排檔排入空檔滑行，以節省油耗。	(2)	保持D檔行駛，並使用腳踏板煞車控制車速。	(3)	將檔位排入低 速檔，配合引擎煞車而勿過度使用腳煞車。	
296	3	小貨車因業務需求必須附載隨車作業人員時，其人數規定為何？	(1)	包含駕駛人在內，最多不得超過4人。	(2)	車廂內有多寬，即可乘坐多少人。	(3)	除駕駛人外，不得超過2人。	
297	2	關於高速公路與快速公路之交通事故，各自由何單位全權負責處理？	(1)	兩者皆統一由內政部警政署國道公路警察局處理。	(2)	高速公路由國道公路警察局處理；快速公路則由所轄縣、市政 府警察機關或警政署指定機關處理。	(3)	皆由當地縣、市政府警察機關處理。	
298	2	參加汽車駕駛執照考驗時，筆試（交通規則）之及格標準為幾分？	(1)	80分。	(2)	85分。	(3)	90分。	
299	3	IMAGEIMAGEIMAGEp023_img01_xref172__DOT__png 圖片（梅花標誌）代表之路線編號意義為何？	(1)	省道路線編號。	(2)	縣道路線編號。	(3)	國道路線編號。	
300	1	為達到環保及節能減碳之駕駛習慣，開車時應儘量避免下列何種駕駛行為以減少油耗？	(1)	尖峰時間通過車多、壅塞路線，且頻繁加減速。	(2)	提早規劃路線，避開擁擠路段並保持勻速行 駛。	(3)	適當使用引擎煞車代替頻繁踩踏腳煞車。	
301	1	關於車輛配備之「駕駛輔助系統」，下列敘述何者正確？	(1)	加入駕駛輔助功能之主要目的，是協助駕駛人在行駛過程中提高行車安全。	(2)	啟用後即可完全取代駕駛人判斷，駕駛人無須再 注意路況。	(3)	啟用後即可不受道路速限與號誌指示拘束，由車輛自主判斷。	
302	2	汽車駕駛人行至有燈光號誌管制之交岔路口闖紅燈，並因而肇事致人重傷時，關於駕駛執照處分下列何者正確？	(1)	無須另為駕駛執照處分。	(2)	除依闖紅燈規定處罰外，並吊扣其駕駛執照 3個月至6個月。	(3)	一律吊銷其駕駛執照，並終身不得再考領。	
303	3	汽車行駛涉水路段後，對於煞車系統有何影響？	(1)	水會沖去煞車皮髒污，故煞車效能更佳。	(2)	煞車效能不變，無須特別注意。	(3)	水分會使煞車來令片與煞車盤間產生水膜，導致煞車效 能大幅降低，應在安全狀況下輕踩煞車以摩擦生熱排除水分。	
304	2	關於領有學習駕駛證之學員，其道路駕駛規定何者正確？	(1)	學習駕駛證可暫時充當駕駛執 照，學員得隨時單獨開車上路，警察依法不得取締。	(2)	必須在有駕照的駕駛者或駕訓班合格教練陪同下，依規定之指定路線及時間內始得進行道路駕駛學習。	(3)	只要有合格駕駛執照的人陪 同，即可開車上高速公路練習。	
305	3	IMAGEIMAGEIMAGEp024_img01_xref176__DOT__png 圖片標誌代表之涵義為何？	(1)	禁止進入。	(2)	讓路。	(3)	停車檢查。	
306	1	IMAGEIMAGEIMAGEp024_img02_xref178__DOT__png 圖片標誌之涵義為何？	(1)	指示前方設有渡口，備有渡船可供車輛過渡。	(2)	指示前方為停車檢查處所。	(3)	指示前方為機車專用道。	
307	3	關於汽車駕駛行為與油耗、廢氣排放的關係，下列敘述何者錯誤？	(1)	頻繁急加減速不僅危險，更是造成高油耗的主因。	(2)	急加減速次數愈多，排放的廢氣污染會愈嚴重。	(3)	只要車輛 保養得宜，不論加減速多頻繁都不會影響廢氣排放量。	
308	2	小客車駕駛人附載幼童行駛於市區一般道路時，若未依規定將幼童安置於兒童安全椅上，下列何者為正確處分？	(1)	處新臺幣600～1,200元罰鍰，並記違規點數1點。	(2)	處新臺幣1,500 ～3,000元罰鍰。	(3)	處新臺幣3,000～6,000元罰鍰，並吊扣駕駛執照1個月。	
309	2	關於汽車車速與駕駛人視野的關係，下列敘述何者正確？	(1)	車速愈快，駕駛人的視野愈大，兩邊景物愈易看清。	(2)	車速愈快，駕駛人的可見視野會越狹窄，周邊物體容易模糊。	(3)	視野 大小僅與擋風玻璃大小有關，與車速毫無關係。	
310	1	答 題號 題 目 案 駕駛人駕車行經設有行人穿越道之路口，發現有行人正準備穿越時，下列處置何者正確？	(1)	應在行人穿越道前停讓行人優先通行，待行人安全通過後再起步。	(2)	預判行人通過速度後加速通過，以減少對後方車流之影響。	(3)	鳴按喇叭警示行人退讓，俟車輛通過後行人再行穿越。	
311	3	乘客遺留財物在車上，應：	(1)	通知乘客並可索取其物價值十分之一以上的報酬	(2)	捐贈公益團體幫助弱勢。	(3)	送交附近警察機關招領。	
312	1	客車上下乘客應在：	(1)	右邊路側。	(2)	左邊路側。	(3)	任意停放即可。	
313	1	駕駛人駕車進入道路施工路段，前方設有施工警告標誌及交通錐排列縮減車道，下列駕駛行 為何者正確？	(1)	提前依指示變換車道，並依施工區公告速限減速通過，注意施工人員動態。	(2)	確認後方無車時，可由原車道直接加速通過縮減段。	(3)	跨越交通錐至原本封閉車道行駛，可避開壅塞車流。	
314	1	駕駛人欲建立安全的用路習慣，下列何項做法最為適當？	(1)	全程遵守交通規則，不因路況順暢、車流稀少或時間緊迫而違規。	(2)	視當下狀況彈性調整，例如深夜無車時可不停紅燈以節省時間。	(3)	路口無監視器時可加速通過，以提升通勤效率。	
315	1	駕駛人駕車於市區道路行駛時，前方路旁停有大型車輛或設有施工圍籬，導致視線受遮蔽而 無法看清前方狀況時，下列駕駛行為何者最為正確？	(1)	應降低車速並保持高度警覺，預防有行人、機車或自行車自遮蔽物後方突然出現，以保留足夠之反應距離與煞車時間。	(2)	應儘量靠近遮蔽物緩慢通過，藉以縮小視線死角範圍並擴大觀察視角，待確認遮蔽物後方 無來人或車輛後再加速駛離。	(3)	因己方行駛於主車道具優先路權，自遮蔽物後方出現之人或車應主動注意主車道車流，駕 駛人只要維持原速並隨時準備煞車即可。	
316	2	根據國際OECD研究，汽車與行人、機車或自行車發生碰撞時，當撞擊速度由時速30公里提 高至時速50公里，被撞用路人之死亡機率變化為何？	(1)	由約10%增加至約30%，速度增加之影響呈線性比例。	(2)	由約10%大幅增加至約80%，速度增加之影響呈非線性陡升。	(3)	由約20%增加至約50%，速度增加之影響相對溫和。。	
317	1	跟前車行到鐵路平交道前應該：	(1)	減速慢行與前車保持適當距離。	(2)	與平常一樣行駛。	(3)	加速通過平交道。	
318	2	駕駛人因塞車，發現前方路口號誌已轉為黃燈，此時最適當的做法是：	(1)	評估已接近停止線且車速較快，不易安全煞停，因此加速通過。	(2)	仍應減速停車等候下一個綠燈。	(3)	切換至旁邊車道加速通過，以減少路口滯留時間。	
